x,y,z
-15.7277,-18.2880,79.3699
-16.9469,-14.8742,79.3699
-16.9469,-7.2542,79.3699
-19.1110,-7.2542,79.3699
-20.7264,-5.9131,79.3699
-20.7264,-3.4138,79.3699
-19.1110,-1.9202,79.3699
-19.1110,1.9202,79.3699
-20.7264,3.4138,79.3699
-20.7264,5.9131,79.3699
-19.1110,7.2542,79.3699
-16.9469,7.2542,79.3699
-16.9469,14.8742,79.3699
-15.7277,18.2880,79.3699
-11.8872,18.2880,79.3699
-11.8872,23.1038,79.3699
-11.1252,25.1308,79.3699
-7.9858,25.1308,79.3699
-7.9858,23.1038,79.3699
0,23.1038,79.3699
10.6680,23.1038,79.3699
10.6680,25.1308,79.3699
13.8989,25.1308,79.3699
14.9352,23.1038,79.3699
14.9352,18.2880,79.3699
18.7757,18.2880,79.3699
18.7757,9.1440,79.3699
18.7757,0,79.3699
18.7757,-9.1440,79.3699
18.7757,-18.2880,79.3699
14.9352,-18.2880,79.3699
14.9352,-23.1038,79.3699
13.8989,-25.1308,79.3699
10.6680,-25.1308,79.3699
10.6680,-23.1038,79.3699
0,-23.1038,79.3699
-7.9858,-23.1038,79.3699
-7.9858,-25.1308,79.3699
-11.1252,-25.1308,79.3699
-11.8872,-23.1038,79.3699
-11.8872,-18.2880,79.3699
-15.7277,-18.2880,74.9808
-16.9469,-14.8742,74.9808
-16.9469,-7.2542,74.9808
-19.1110,-7.2542,74.9808
-20.7264,-5.9131,74.9808
-20.7264,-3.4138,74.9808
-19.1110,-1.9202,74.9808
-19.1110,1.9202,74.9808
-20.7264,3.4138,74.9808
-20.7264,5.9131,74.9808
-19.1110,7.2542,74.9808
-16.9469,7.2542,74.9808
-16.9469,14.8742,74.9808
-15.7277,18.2880,74.9808
-11.8872,18.2880,74.9808
-11.8872,23.1038,74.9808
-11.1252,25.1308,74.9808
-7.9858,25.1308,74.9808
-7.9858,23.1038,74.9808
0,23.1038,74.9808
10.6680,23.1038,74.9808
10.6680,25.1308,74.9808
13.8989,25.1308,74.9808
14.9352,23.1038,74.9808
14.9352,18.2880,74.9808
18.7757,18.2880,74.9808
18.7757,9.1440,74.9808
18.7757,0,74.9808
18.7757,-9.1440,74.9808
18.7757,-18.2880,74.9808
14.9352,-18.2880,74.9808
14.9352,-23.1038,74.9808
13.8989,-25.1308,74.9808
10.6680,-25.1308,74.9808
10.6680,-23.1038,74.9808
0,-23.1038,74.9808
-7.9858,-23.1038,74.9808
-7.9858,-25.1308,74.9808
-11.1252,-25.1308,74.9808
-11.8872,-23.1038,74.9808
-11.8872,-18.2880,74.9808
-15.7277,-18.2880,69.4944
-16.9469,-14.8742,69.4944
-16.9469,-7.2542,69.4944
-19.1110,-7.2542,69.4944
-20.7264,-5.9131,69.4944
-20.7264,-3.4138,69.4944
-19.1110,-1.9202,69.4944
-19.1110,1.9202,69.4944
-20.7264,3.4138,69.4944
-20.7264,5.9131,69.4944
-19.1110,7.2542,69.4944
